alpha,inputTuples,time,throughput
13,16384,8901815,0.0018
11,16384,16697694,0.0010
10,16384,24959916,0.0007
9,16384,31577718,0.0005
8,16384,45109522,0.0004
7,16384,60533435,0.0003
6,16384,70907363,0.0002
5,16384,91080886,0.0002
4,16384,118866835,0.0001
3,16384,128444449,0.0001
2,16384,128444449,0.0001
